[my_website] Crawled: 12 URLs in 0.76 seconds
[my_website] queue size: 0
         810738 function calls (790128 primitive calls) in 3.783 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       68    0.000    0.000    0.001    0.000 langhelpers.py:2140(<listcomp>)
     1709    0.000    0.000    0.000    0.000 parse.py:111(_noop)
       24    0.000    0.000    0.001    0.000 __init__.py:136(hexdigest)
      198    0.000    0.000    0.001    0.000 sre_parse.py:85(opengroup)
       15    0.000    0.000    0.001    0.000 contextlib.py:252(contextmanager)
     1133    0.000    0.000    0.001    0.000 {built-in function issubclass}
      543    0.000    0.000    0.000    0.000 graphviz.py:198(agroot)
       94    0.000    0.000    0.000    0.000 weakref.py:394(__init__)
      410    0.000    0.000    0.008    0.000 enum.py:365(__call__)
       12    0.000    0.000    0.278    0.023 client.py:278(_read_status)
